english,korean,kind,category_slug,category_kr,item_slug,poe2db_us,poe2db_kr
Lesser Essence of Ice,하위 얼음의 에센스,currency,Essence,Essence,Lesser_Essence_of_Ice,https://poe2db.tw/us/Lesser_Essence_of_Ice,https://poe2db.tw/kr/Lesser_Essence_of_Ice
Lesser Essence of Insulation,하위 절연의 에센스,currency,Essence,Essence,Lesser_Essence_of_Insulation,https://poe2db.tw/us/Lesser_Essence_of_Insulation,https://poe2db.tw/kr/Lesser_Essence_of_Insulation
Lesser Essence of Opulence,하위 풍요의 에센스,currency,Essence,Essence,Lesser_Essence_of_Opulence,https://poe2db.tw/us/Lesser_Essence_of_Opulence,https://poe2db.tw/kr/Lesser_Essence_of_Opulence
Lesser Essence of Ruin,하위 폐허의 에센스,currency,Essence,Essence,Lesser_Essence_of_Ruin,https://poe2db.tw/us/Lesser_Essence_of_Ruin,https://poe2db.tw/kr/Lesser_Essence_of_Ruin
Lesser Essence of Seeking,하위 추구의 에센스,currency,Essence,Essence,Lesser_Essence_of_Seeking,https://poe2db.tw/us/Lesser_Essence_of_Seeking,https://poe2db.tw/kr/Lesser_Essence_of_Seeking
Lesser Essence of Sorcery,하위 마술의 에센스,currency,Essence,Essence,Lesser_Essence_of_Sorcery,https://poe2db.tw/us/Lesser_Essence_of_Sorcery,https://poe2db.tw/kr/Lesser_Essence_of_Sorcery
Lesser Essence of Thawing,하위 해동의 에센스,currency,Essence,Essence,Lesser_Essence_of_Thawing,https://poe2db.tw/us/Lesser_Essence_of_Thawing,https://poe2db.tw/kr/Lesser_Essence_of_Thawing
Lesser Essence of the Body,하위 육신의 에센스,currency,Essence,Essence,Lesser_Essence_of_the_Body,https://poe2db.tw/us/Lesser_Essence_of_the_Body,https://poe2db.tw/kr/Lesser_Essence_of_the_Body
Lesser Essence of the Infinite,하위 무한의 에센스,currency,Essence,Essence,Lesser_Essence_of_the_Infinite,https://poe2db.tw/us/Lesser_Essence_of_the_Infinite,https://poe2db.tw/kr/Lesser_Essence_of_the_Infinite
Lesser Essence of the Mind,하위 정신의 에센스,currency,Essence,Essence,Lesser_Essence_of_the_Mind,https://poe2db.tw/us/Lesser_Essence_of_the_Mind,https://poe2db.tw/kr/Lesser_Essence_of_the_Mind
Mystic Alloy,신비한 합금,currency,Essence,Essence,Mystic_Alloy,https://poe2db.tw/us/Mystic_Alloy,https://poe2db.tw/kr/Mystic_Alloy
Omen of Dextral Crystallisation,우측 결정화의 징조,currency,Essence,Essence,Omen_of_Dextral_Crystallisation,https://poe2db.tw/us/Omen_of_Dextral_Crystallisation,https://poe2db.tw/kr/Omen_of_Dextral_Crystallisation
Omen of Sinistral Crystallisation,좌측 결정화의 징조,currency,Essence,Essence,Omen_of_Sinistral_Crystallisation,https://poe2db.tw/us/Omen_of_Sinistral_Crystallisation,https://poe2db.tw/kr/Omen_of_Sinistral_Crystallisation
Perfect Essence of Abrasion,완벽한 마모의 에센스,currency,Essence,Essence,Perfect_Essence_of_Abrasion,https://poe2db.tw/us/Perfect_Essence_of_Abrasion,https://poe2db.tw/kr/Perfect_Essence_of_Abrasion
Perfect Essence of Alacrity,완벽한 기민성의 에센스,currency,Essence,Essence,Perfect_Essence_of_Alacrity,https://poe2db.tw/us/Perfect_Essence_of_Alacrity,https://poe2db.tw/kr/Perfect_Essence_of_Alacrity
Perfect Essence of Battle,완벽한 전투의 에센스,currency,Essence,Essence,Perfect_Essence_of_Battle,https://poe2db.tw/us/Perfect_Essence_of_Battle,https://poe2db.tw/kr/Perfect_Essence_of_Battle
Perfect Essence of Command,완벽한 지휘의 에센스,currency,Essence,Essence,Perfect_Essence_of_Command,https://poe2db.tw/us/Perfect_Essence_of_Command,https://poe2db.tw/kr/Perfect_Essence_of_Command
Perfect Essence of Electricity,완벽한 전기의 에센스,currency,Essence,Essence,Perfect_Essence_of_Electricity,https://poe2db.tw/us/Perfect_Essence_of_Electricity,https://poe2db.tw/kr/Perfect_Essence_of_Electricity
Perfect Essence of Enhancement,완벽한 강화의 에센스,currency,Essence,Essence,Perfect_Essence_of_Enhancement,https://poe2db.tw/us/Perfect_Essence_of_Enhancement,https://poe2db.tw/kr/Perfect_Essence_of_Enhancement
Perfect Essence of Flames,완벽한 화염의 에센스,currency,Essence,Essence,Perfect_Essence_of_Flames,https://poe2db.tw/us/Perfect_Essence_of_Flames,https://poe2db.tw/kr/Perfect_Essence_of_Flames
Perfect Essence of Grounding,완벽한 접지의 에센스,currency,Essence,Essence,Perfect_Essence_of_Grounding,https://poe2db.tw/us/Perfect_Essence_of_Grounding,https://poe2db.tw/kr/Perfect_Essence_of_Grounding
Perfect Essence of Haste,완벽한 가속의 에센스,currency,Essence,Essence,Perfect_Essence_of_Haste,https://poe2db.tw/us/Perfect_Essence_of_Haste,https://poe2db.tw/kr/Perfect_Essence_of_Haste
Perfect Essence of Ice,완벽한 얼음의 에센스,currency,Essence,Essence,Perfect_Essence_of_Ice,https://poe2db.tw/us/Perfect_Essence_of_Ice,https://poe2db.tw/kr/Perfect_Essence_of_Ice
Perfect Essence of Insulation,완벽한 절연의 에센스,currency,Essence,Essence,Perfect_Essence_of_Insulation,https://poe2db.tw/us/Perfect_Essence_of_Insulation,https://poe2db.tw/kr/Perfect_Essence_of_Insulation
Perfect Essence of Opulence,완벽한 풍요의 에센스,currency,Essence,Essence,Perfect_Essence_of_Opulence,https://poe2db.tw/us/Perfect_Essence_of_Opulence,https://poe2db.tw/kr/Perfect_Essence_of_Opulence
Perfect Essence of Ruin,완벽한 폐허의 에센스,currency,Essence,Essence,Perfect_Essence_of_Ruin,https://poe2db.tw/us/Perfect_Essence_of_Ruin,https://poe2db.tw/kr/Perfect_Essence_of_Ruin
Perfect Essence of Seeking,완벽한 추구의 에센스,currency,Essence,Essence,Perfect_Essence_of_Seeking,https://poe2db.tw/us/Perfect_Essence_of_Seeking,https://poe2db.tw/kr/Perfect_Essence_of_Seeking
Perfect Essence of Sorcery,완벽한 마술의 에센스,currency,Essence,Essence,Perfect_Essence_of_Sorcery,https://poe2db.tw/us/Perfect_Essence_of_Sorcery,https://poe2db.tw/kr/Perfect_Essence_of_Sorcery
Perfect Essence of Thawing,완벽한 해동의 에센스,currency,Essence,Essence,Perfect_Essence_of_Thawing,https://poe2db.tw/us/Perfect_Essence_of_Thawing,https://poe2db.tw/kr/Perfect_Essence_of_Thawing
Perfect Essence of the Body,완벽한 육신의 에센스,currency,Essence,Essence,Perfect_Essence_of_the_Body,https://poe2db.tw/us/Perfect_Essence_of_the_Body,https://poe2db.tw/kr/Perfect_Essence_of_the_Body
Perfect Essence of the Infinite,완벽한 무한의 에센스,currency,Essence,Essence,Perfect_Essence_of_the_Infinite,https://poe2db.tw/us/Perfect_Essence_of_the_Infinite,https://poe2db.tw/kr/Perfect_Essence_of_the_Infinite
Perfect Essence of the Mind,완벽한 정신의 에센스,currency,Essence,Essence,Perfect_Essence_of_the_Mind,https://poe2db.tw/us/Perfect_Essence_of_the_Mind,https://poe2db.tw/kr/Perfect_Essence_of_the_Mind
Prismatic Alloy,분광 합금,currency,Essence,Essence,Prismatic_Alloy,https://poe2db.tw/us/Prismatic_Alloy,https://poe2db.tw/kr/Prismatic_Alloy
Protective Alloy,보호의 합금,currency,Essence,Essence,Protective_Alloy,https://poe2db.tw/us/Protective_Alloy,https://poe2db.tw/kr/Protective_Alloy
Runic Alloy,룬 합금,currency,Essence,Essence,Runic_Alloy,https://poe2db.tw/us/Runic_Alloy,https://poe2db.tw/kr/Runic_Alloy
Sovereign Alloy,군왕의 합금,currency,Essence,Essence,Sovereign_Alloy,https://poe2db.tw/us/Sovereign_Alloy,https://poe2db.tw/kr/Sovereign_Alloy
Swift Alloy,재빠른 합금,currency,Essence,Essence,Swift_Alloy,https://poe2db.tw/us/Swift_Alloy,https://poe2db.tw/kr/Swift_Alloy
The Runebinder's Alloy,룬 결속사의 합금,currency,Essence,Essence,The_Runebinders_Alloy,https://poe2db.tw/us/The_Runebinders_Alloy,https://poe2db.tw/kr/The_Runebinders_Alloy
The Runefather's Alloy,룬 아버지의 합금,currency,Essence,Essence,The_Runefathers_Alloy,https://poe2db.tw/us/The_Runefathers_Alloy,https://poe2db.tw/kr/The_Runefathers_Alloy
Transcendent Alloy,초월의 합금,currency,Essence,Essence,Transcendent_Alloy,https://poe2db.tw/us/Transcendent_Alloy,https://poe2db.tw/kr/Transcendent_Alloy
Vaal Orb,Vaal Orb,currency,Essence,Essence,Vaal_Orb,https://poe2db.tw/us/Vaal_Orb,https://poe2db.tw/kr/Vaal_Orb
Glassblower's Bauble,유리직공의 방울,currency,Flasks,플라스크,Glassblowers_Bauble,https://poe2db.tw/us/Glassblowers_Bauble,https://poe2db.tw/kr/Glassblowers_Bauble
Vaal Cultivation Orb,바알 함양 오브,currency,Gloves,장갑,Vaal_Cultivation_Orb,https://poe2db.tw/us/Vaal_Cultivation_Orb,https://poe2db.tw/kr/Vaal_Cultivation_Orb
Ancient Concentrated Liquid Fear,고대 농축된 액체 두려움,currency,Liquid_Emotions,Liquid Emotions,Ancient_Concentrated_Liquid_Fear,https://poe2db.tw/us/Ancient_Concentrated_Liquid_Fear,https://poe2db.tw/kr/Ancient_Concentrated_Liquid_Fear
Ancient Concentrated Liquid Isolation,고대 농축된 액체 고립,currency,Liquid_Emotions,Liquid Emotions,Ancient_Concentrated_Liquid_Isolation,https://poe2db.tw/us/Ancient_Concentrated_Liquid_Isolation,https://poe2db.tw/kr/Ancient_Concentrated_Liquid_Isolation
Ancient Concentrated Liquid Suffering,고대 농축된 액체 고통,currency,Liquid_Emotions,Liquid Emotions,Ancient_Concentrated_Liquid_Suffering,https://poe2db.tw/us/Ancient_Concentrated_Liquid_Suffering,https://poe2db.tw/kr/Ancient_Concentrated_Liquid_Suffering
Ancient Diluted Liquid Greed,고대 희석된 액체 탐욕,currency,Liquid_Emotions,Liquid Emotions,Ancient_Diluted_Liquid_Greed,https://poe2db.tw/us/Ancient_Diluted_Liquid_Greed,https://poe2db.tw/kr/Ancient_Diluted_Liquid_Greed
Ancient Diluted Liquid Guilt,고대 희석된 액체 죄책감,currency,Liquid_Emotions,Liquid Emotions,Ancient_Diluted_Liquid_Guilt,https://poe2db.tw/us/Ancient_Diluted_Liquid_Guilt,https://poe2db.tw/kr/Ancient_Diluted_Liquid_Guilt
Ancient Diluted Liquid Ire,고대 희석된 액체 진노,currency,Liquid_Emotions,Liquid Emotions,Ancient_Diluted_Liquid_Ire,https://poe2db.tw/us/Ancient_Diluted_Liquid_Ire,https://poe2db.tw/kr/Ancient_Diluted_Liquid_Ire
Ancient Liquid Despair,고대 액체 절망,currency,Liquid_Emotions,Liquid Emotions,Ancient_Liquid_Despair,https://poe2db.tw/us/Ancient_Liquid_Despair,https://poe2db.tw/kr/Ancient_Liquid_Despair
Ancient Liquid Disgust,고대 액체 혐오,currency,Liquid_Emotions,Liquid Emotions,Ancient_Liquid_Disgust,https://poe2db.tw/us/Ancient_Liquid_Disgust,https://poe2db.tw/kr/Ancient_Liquid_Disgust
Ancient Liquid Envy,고대 액체 선망,currency,Liquid_Emotions,Liquid Emotions,Ancient_Liquid_Envy,https://poe2db.tw/us/Ancient_Liquid_Envy,https://poe2db.tw/kr/Ancient_Liquid_Envy
Ancient Liquid Paranoia,고대 액체 집착,currency,Liquid_Emotions,Liquid Emotions,Ancient_Liquid_Paranoia,https://poe2db.tw/us/Ancient_Liquid_Paranoia,https://poe2db.tw/kr/Ancient_Liquid_Paranoia
Ancient Potent Liquid Contempt,고대 위력적인 액체 경멸,currency,Liquid_Emotions,Liquid Emotions,Ancient_Potent_Liquid_Contempt,https://poe2db.tw/us/Ancient_Potent_Liquid_Contempt,https://poe2db.tw/kr/Ancient_Potent_Liquid_Contempt
Ancient Potent Liquid Ferocity,고대 위력적인 액체 흉포함,currency,Liquid_Emotions,Liquid Emotions,Ancient_Potent_Liquid_Ferocity,https://poe2db.tw/us/Ancient_Potent_Liquid_Ferocity,https://poe2db.tw/kr/Ancient_Potent_Liquid_Ferocity
Ancient Potent Liquid Melancholy,고대 위력적인 액체 우울,currency,Liquid_Emotions,Liquid Emotions,Ancient_Potent_Liquid_Melancholy,https://poe2db.tw/us/Ancient_Potent_Liquid_Melancholy,https://poe2db.tw/kr/Ancient_Potent_Liquid_Melancholy
Concentrated Liquid Fear,농축된 액체 두려움,currency,Liquid_Emotions,Liquid Emotions,Concentrated_Liquid_Fear,https://poe2db.tw/us/Concentrated_Liquid_Fear,https://poe2db.tw/kr/Concentrated_Liquid_Fear
Concentrated Liquid Isolation,농축된 액체 고립,currency,Liquid_Emotions,Liquid Emotions,Concentrated_Liquid_Isolation,https://poe2db.tw/us/Concentrated_Liquid_Isolation,https://poe2db.tw/kr/Concentrated_Liquid_Isolation
Concentrated Liquid Suffering,농축된 액체 고통,currency,Liquid_Emotions,Liquid Emotions,Concentrated_Liquid_Suffering,https://poe2db.tw/us/Concentrated_Liquid_Suffering,https://poe2db.tw/kr/Concentrated_Liquid_Suffering
Diluted Liquid Greed,희석된 액체 탐욕,currency,Liquid_Emotions,Liquid Emotions,Diluted_Liquid_Greed,https://poe2db.tw/us/Diluted_Liquid_Greed,https://poe2db.tw/kr/Diluted_Liquid_Greed
Diluted Liquid Guilt,희석된 액체 죄책감,currency,Liquid_Emotions,Liquid Emotions,Diluted_Liquid_Guilt,https://poe2db.tw/us/Diluted_Liquid_Guilt,https://poe2db.tw/kr/Diluted_Liquid_Guilt
Diluted Liquid Ire,희석된 액체 진노,currency,Liquid_Emotions,Liquid Emotions,Diluted_Liquid_Ire,https://poe2db.tw/us/Diluted_Liquid_Ire,https://poe2db.tw/kr/Diluted_Liquid_Ire
Liquid Despair,액체 절망,currency,Liquid_Emotions,Liquid Emotions,Liquid_Despair,https://poe2db.tw/us/Liquid_Despair,https://poe2db.tw/kr/Liquid_Despair
Liquid Disgust,액체 혐오,currency,Liquid_Emotions,Liquid Emotions,Liquid_Disgust,https://poe2db.tw/us/Liquid_Disgust,https://poe2db.tw/kr/Liquid_Disgust
Liquid Envy,액체 선망,currency,Liquid_Emotions,Liquid Emotions,Liquid_Envy,https://poe2db.tw/us/Liquid_Envy,https://poe2db.tw/kr/Liquid_Envy
Liquid Paranoia,액체 집착,currency,Liquid_Emotions,Liquid Emotions,Liquid_Paranoia,https://poe2db.tw/us/Liquid_Paranoia,https://poe2db.tw/kr/Liquid_Paranoia
Potent Liquid Contempt,위력적인 액체 경멸,currency,Liquid_Emotions,Liquid Emotions,Potent_Liquid_Contempt,https://poe2db.tw/us/Potent_Liquid_Contempt,https://poe2db.tw/kr/Potent_Liquid_Contempt
Potent Liquid Ferocity,위력적인 액체 흉포함,currency,Liquid_Emotions,Liquid Emotions,Potent_Liquid_Ferocity,https://poe2db.tw/us/Potent_Liquid_Ferocity,https://poe2db.tw/kr/Potent_Liquid_Ferocity
Potent Liquid Melancholy,위력적인 액체 우울,currency,Liquid_Emotions,Liquid Emotions,Potent_Liquid_Melancholy,https://poe2db.tw/us/Potent_Liquid_Melancholy,https://poe2db.tw/kr/Potent_Liquid_Melancholy
Ancient Jawbone,고대 턱뼈,currency,Quivers,화살통,Ancient_Jawbone,https://poe2db.tw/us/Ancient_Jawbone,https://poe2db.tw/kr/Ancient_Jawbone
Gnawed Jawbone,갉힌 턱뼈,currency,Quivers,화살통,Gnawed_Jawbone,https://poe2db.tw/us/Gnawed_Jawbone,https://poe2db.tw/kr/Gnawed_Jawbone
Preserved Jawbone,보존된 턱뼈,currency,Quivers,화살통,Preserved_Jawbone,https://poe2db.tw/us/Preserved_Jawbone,https://poe2db.tw/kr/Preserved_Jawbone
Adaptive Catalyst,적응형 기폭제,currency,Stackable_Currency,중첩 가능 화폐,Adaptive_Catalyst,https://poe2db.tw/us/Adaptive_Catalyst,https://poe2db.tw/kr/Adaptive_Catalyst
Albino Rhoa Feather,흰 로아 깃털,currency,Stackable_Currency,중첩 가능 화폐,Albino_Rhoa_Feather,https://poe2db.tw/us/Albino_Rhoa_Feather,https://poe2db.tw/kr/Albino_Rhoa_Feather
Altered Collarbone,뒤바뀐 빗장뼈,currency,Stackable_Currency,중첩 가능 화폐,Altered_Collarbone,https://poe2db.tw/us/Altered_Collarbone,https://poe2db.tw/kr/Altered_Collarbone
Ancient Collarbone,고대 빗장뼈,currency,Stackable_Currency,중첩 가능 화폐,Ancient_Collarbone,https://poe2db.tw/us/Ancient_Collarbone,https://poe2db.tw/kr/Ancient_Collarbone
Ancient Infuser,고대 주입기,currency,Stackable_Currency,중첩 가능 화폐,Ancient_Infuser,https://poe2db.tw/us/Ancient_Infuser,https://poe2db.tw/kr/Ancient_Infuser
Ancient Rib,고대 갈비뼈,currency,Stackable_Currency,중첩 가능 화폐,Ancient_Rib,https://poe2db.tw/us/Ancient_Rib,https://poe2db.tw/kr/Ancient_Rib
